Town,Postcode,Latitude,Longitude
Camden,NW1 9HE,51.54688,-0.1313972
Kentish Town,NW5 2LP,51.548801,-0.14138593
Croydon,CR0 6RF,51.382117,-0.069767911
Croydon,CR0 8TG,51.375324,-0.047336568
Norwood,SE19 3HE,51.4218,-0.10662929
Norbury,SW16 3LZ,51.413743,-0.11444021
Norwood,SE19 3LY,51.410838,-0.08775568
Croydon,CR9 1NR,51.373414,-0.097433447
Acton,W3 6TG,51.517842,-0.26602499
Acton,W3 9HS,51.512533,-0.27062214
Northolt,UB5 5BJ,51.545144,-0.37280475
Acton,W3 7TZ,51.514158,-0.2510754
Ealing,W5 3RA,51.529166,-0.29132882
Acton,W3 6UW,51.522929,-0.25856667
Enfield,EN3 4EB,51.644276,-0.046267017
Enfield,EN1 4TA,51.677677,-0.051382057
Palmers Green,N13 5EH,51.616689,-0.091769082
Southgate,N14 4UT,51.647638,-0.13185354
Edmonton,N18 1HX,51.614853,-0.087252799
Lee,SE12 8PZ,51.456319,0.011305913
Eltham,SE9 5DG,51.45019,0.052083883
Edmonton,N9 0NR,51.622689,-0.061713546
Edmonton,N18 2LY,51.616023,-0.063730945
Winchmore Hill,N21 1RE,51.642637,-0.098166577
London Heathrow Airport,TW6 2RL,51.480472,-0.4607947
Edmonton,N9 9AS,51.626633,-0.068581677
Wood Green,N11 2JG,51.613519,-0.12273965
Eltham,SE9 5ER,51.445646,0.040381675
Eltham,SE9 6TX,51.466356,0.051772486
Greenwich,SE10 9EQ,51.485688,0.006130835
Eltham,SE9 6TF,51.459174,0.047448472
Abbey Wood,SE2 9PT,51.493746,0.11015205
Woolwich,SE18 3SA,51.469611,0.065093307
Abbey Wood,SE2 0NX,51.478584,0.10514604
Blackheath,SE3 8UN,51.474873,0.035162369
Eltham,SE9 2AE,51.442758,0.064572378
Eltham,SE9 1RG,51.461635,0.06404219
Eltham,SE9 6SS,51.456907,0.050571425
Eltham,SE9 6JZ,51.458798,0.044235923
Eltham,SE9 5JX,51.452508,0.038787739
Eltham,SE9 6DZ,51.454858,0.040734843
Blackheath,SE3 8TT,51.479258,0.024973995
Abbey Wood,SE2 0BW,51.487476,0.11174951
Woolwich,SE18 6PN,51.490648,0.064416078
Plumstead,SE18 1JT,51.485449,0.10092507
Eltham,SE9 2SY,51.445952,0.063003854
Plumstead,SE18 1JQ,51.487139,0.092432214
Blackheath,SE3 8AT,51.469437,0.02715959
Greenwich,SE3 7JR,51.475135,0.023178522
Charlton,SE7 7RB,51.486878,0.020644676
Eltham,SE9 5LP,51.452065,0.030679055
Eltham,SE9 3BB,51.429367,0.056933888
Charlton,SE7 8SH,51.48931,0.038066798
Charlton,SE7 7AA,51.483026,0.034848417
Deptford,SE8 3FD,51.480519,-0.021978247
Hackney,E9 5DR,51.544913,-0.036320403
Clapton,E5 8TN,51.555524,-0.055208114
Westminster,SW1P 3NY,51.498661,-0.12968169
Highbury,N4 2TU,51.56777,-0.094539593
Islington,N1 7JD,51.534133,-0.088720839
Stoke Newington,N16 7LA,51.560779,-0.072267747
Stoke Newington,N16 9PB,51.556183,-0.083743008
Clapton,N16 6QP,51.570143,-0.072477676
Hackney,E9 6LH,51.546825,-0.049074386
Hackney,E8 2RJ,51.552104,-0.066432
Hackney,E9 5QD,51.550453,-0.034177895
Hackney,E8 2BF,51.54694,-0.069593185
Hackney,E9 7BB,51.540845,-0.04905617
Hackney,E8 2AF,51.550305,-0.064214887
Clapton,N16 6EX,51.570994,-0.066784966
Shoreditch,N1 6TD,51.532353,-0.086517346
Harringay,N4 1QP,51.572557,-0.091424361
Clapton,N16 6TU,51.574479,-0.072020049
Hackney,E9 7JN,51.538017,-0.046076814
Clapton,E5 9BT,51.562456,-0.059457118
Stoke Newington,N16 5AH,51.574876,-0.078093435
Clapton,E5 8TR,51.553596,-0.053905556
Stoke Newington,N16 0UA,51.559169,-0.082145956
Hammersmith,W6 9NT,51.484143,-0.22013478
Hammersmith,W6 7AS,51.494332,-0.22372839
Acton,W12 9PF,51.499565,-0.2409869
Shepherds Bush,W12 8ER,51.499969,-0.2367211
North Kensington,W10 6QL,51.519839,-0.22759367
Hammersmith,W14 9NU,51.485869,-0.20298531
Acton,W12 0UW,51.51654,-0.22822621
Muswell Hill,N10 3SX,51.591377,-0.13550527
Wood Green,N22 8XU,51.602298,-0.11947688
Tottenham,N15 6EQ,51.579132,-0.079400443
Tottenham,N15 5BW,51.581361,-0.087028496
Hornsey,N8 9BE,51.584007,-0.11604621
Wood Green,N22 8ED,51.602374,-0.11297563
Wood Green,N11 2EB,51.608615,-0.12817007
Stanmore,HA7 1JE,51.601542,-0.29733512
Pinner,HA5 4JS,51.607253,-0.37480208
Harrow,HA2 8HA,51.558001,-0.36169971
Kenton,HA3 8SA,51.600816,-0.31805404
Harrow Weald,HA3 6DY,51.612321,-0.33474387
Stanmore,HA7 1HG,51.591523,-0.28668025
Burnt Oak,HA8 5QL,51.597653,-0.27855169
Burnt Oak,HA8 5QL,51.597653,-0.27855169
Hornchurch,RM12 6LL,51.554949,0.21989356
Romford,RM7 9JU,51.574335,0.16370169
Hornchurch,RM12 5DS,51.548087,0.19841426
Gidea Park,RM2 5NL,51.586232,0.19520281
Collier Row,RM5 2AU,51.598094,0.15883849
Upminster,RM14 3BS,51.556061,0.25071911
Romford,RM1 1SS,51.575364,0.18291669
Rainham,RM13 8LB,51.522581,0.18552322
Harold Hill,RM3 8FG,51.599629,0.22210099
Collier Row,RM5 3AB,51.585238,0.17272219
Romford,RM1 4WL,51.604367,0.17897873
Hornchurch,RM12 5BA,51.549241,0.20020077
Romford,RM1 2DF,51.567955,0.18621255
Rainham,RM13 7SD,51.532342,0.18434704
Hornchurch,RM12 6NJ,51.561277,0.22051919
Hornchurch,RM12 6PL,51.558947,0.23523689
Harold Hill,RM3 9ED,51.608952,0.23122216
Ardleigh Green,RM11 2SH,51.584184,0.22088534
Rainham,RM13 8LD,51.522479,0.18618145
Romford,RM1 4BQ,51.598957,0.17730464
Hornchurch,RM12 5NU,51.540602,0.20285582
Romford,RM1 3EL,51.577676,0.18578419
Hayes (Middx),UB4 9AX,51.528323,-0.39858989
Hillingdon,UB4 8HQ,51.525128,-0.43031478
Hayes (Middx),UB3 3EG,51.510988,-0.4139113
Hayes (Middx),UB3 3HE,51.510437,-0.41372869
Ruislip,HA4 0HD,51.558065,-0.39695404
Ruislip,HA4 0DS,51.563256,-0.40373994
Ruislip,UB10 8FG,51.567067,-0.44106307
Harlington,UB3 4NS,51.497858,-0.41384844
Hayes (Middx),UB3 2PH,51.517082,-0.42844389
West Drayton,UB7 9AE,51.504579,-0.45797979
Ruislip,HA4 0ET,51.562267,-0.40309649
Hillingdon,UB4 8LX,51.532135,-0.42244692
Harrow,HA2 9AW,51.560326,-0.3801831
Ruislip,HA4 9PD,51.569658,-0.39051481
Ruislip,HA4 6LG,51.560332,-0.41024767
Northwood,HA6 1QL,51.602044,-0.40804058
Uxbridge,UB8 1UE,51.546596,-0.48251947
Uxbridge,UB8 2HG,51.52603,-0.48313116
Hillingdon,UB4 8HP,51.523592,-0.42708102
Chiswick,W4 2QL,51.485583,-0.25306192
Brentford,TW8 9PQ,51.490716,-0.30751708
Isleworth,TW7 5BP,51.478516,-0.32209587
Isleworth,TW7 4PS,51.482033,-0.34302231
Isleworth,TW7 4AS,51.472482,-0.34679528
Isleworth,TW7 7DT,51.462983,-0.33137509
Isleworth,TW7 5AX,51.478045,-0.32437405
Chiswick,W4 5QJ,51.491752,-0.28352323
Southall,UB2 5NH,51.497045,-0.40029138
Chiswick,W4 2RQ,51.482087,-0.25744409
Hounslow,TW4 7NQ,51.473111,-0.40385009
Hounslow,TW3 1PG,51.47173,-0.35083968
Feltham,TW14 8RX,51.448774,-0.44849137
Feltham,TW13 5EA,51.443747,-0.39498832
Feltham,TW14 9HD,51.454716,-0.42537616
Chiswick,W4 2SA,51.478387,-0.26081089
Brentford,TW8 0JT,51.486172,-0.29990757
Feltham,TW13 4SF,51.437585,-0.42534661
Isleworth,TW7 5AX,51.478045,-0.32437405
Holloway,N7 0LP,51.55737,-0.12045071
Holloway,N7 6DP,51.557965,-0.11324193
London City,EC1V 4RN,51.524893,-0.10337943
Finsbury Park,N4 3SG,51.569069,-0.1109352
Tufnell Park,N19 3QS,51.565889,-0.13419624
London City,EC1R 4QX,51.527547,-0.10791129
London City,EC1R 0JD,51.527565,-0.10511373
Kensington,SW5 0BA,51.490984,-0.18356806
Chessington,KT9 1EJ,51.368108,-0.30596454
Kingston,KT2 5DB,51.429028,-0.3074958
Kingston,KT2 7JP,51.424516,-0.27440706
Tolworth,KT6 7HF,51.382133,-0.28528495
Tolworth,KT5 9NN,51.380108,-0.27909531
Clapham,SW4 8NY,51.450352,-0.14089642
Kennington,SE11 5QZ,51.487753,-0.11169096
Uxbridge,UB8 2PP,51.537377,-0.47401602
Streatham,SW2 4HL,51.442471,-0.13274094
Brixton,SW2 1HE,51.448977,-0.12402751
Kennington,SW8 1RH,51.482303,-0.12399963
Norbury,SW16 3HE,51.424242,-0.12988805
Kennington,SE11 4HP,51.490452,-0.10617761
Norbury,SW16 5SQ,51.415372,-0.13931023
Kennington,SW8 1HY,51.47646,-0.11849361
Norwood,SE27 9BB,51.423031,-0.097660542
Lee,SE12 0PS,51.443185,0.014729242
Catford,SE6 3PJ,51.426233,-0.009938619
Lee,SE12 0EG,51.427595,0.020804483
Catford,SE6 2LE,51.443567,-0.019258332
Lewisham,SE13 6LL,51.451686,-0.017582784
Downham,BR1 5NY,51.425064,-0.002581356
Downham,BR1 5NS,51.42432,0.008332646
Sydenham,SE26 6BN,51.427015,-0.063647209
Beckenham,BR3 1SZ,51.420803,-0.021752918
Catford,SE6 2RA,51.432835,-0.016917122
Sydenham,SE26 5SE,51.426431,-0.041490457
Sydenham,SE26 6SH,51.431723,-0.073720128
Sydenham,SE26 5JX,51.425597,-0.048617741
Forest Hill,SE23 1JP,51.447539,-0.042141647
Catford,SE6 4BP,51.444741,-0.019552905
Brockley,SE4 1UT,51.46822,-0.025936928
New Cross,SE14 5DJ,51.476027,-0.047459846
New Cross,SE14 5HT,51.476563,-0.049957061
Greenwich,SE10 8EL,51.472389,-0.01399268
Wimbledon,SW19 1JX,51.415764,-0.19362686
Wimbledon,SW19 2TQ,51.414809,-0.19238457
New Malden,KT3 4LU,51.399465,-0.24603731
Raynes Park,SW20 0BD,51.410068,-0.23709025
East Ham,E6 6EL,51.532343,0.055430514
Forest Gate,E7 8BE,51.546318,0.026983864
East Ham,E6 2LR,51.534468,0.066571275
Canning Town,E16 4HH,51.519331,0.015522357
East Ham,E6 3BP,51.530494,0.040338208
East Ham,E6 1AQ,51.537474,0.035026589
Canning Town,E16 1FR,51.508404,0.035373726
Manor Park,E12 6SJ,51.541146,0.0503471
East Ham,E6 2RT,51.533432,0.058997737
East Ham,E6 1BB,51.537495,0.051379864
East Ham,E6 1JB,51.538084,0.051132359
Forest Gate,E7 9HH,51.546216,0.025609159
Stratford West Ham,E15 3QY,51.536729,0.020371704
Plaistow,E13 9AU,51.534362,0.036084568
East Ham,E6 1BX,51.538595,0.042964552
East Ham,E6 6BE,51.525469,0.057211246
Forest Gate,E7 8JE,51.543289,0.032617988
East Ham,E6 6DY,51.528821,0.056800102
Plaistow,E13 8SD,51.518959,0.032413719
Stratford West Ham,E15 3JB,51.535293,0.007647959
Canning Town,E16 2DT,51.502279,0.048861304
East Ham,E6 6WE,51.51225,0.068419155
Stratford West Ham,E15 4PT,51.53754,0.005612684
Canning Town,E16 2RS,51.501992,0.071844993
Woodford,IG8 7BZ,51.607509,0.036077384
Woodford,E18 2PB,51.599314,0.020101573
Ilford,IG2 7SB,51.581772,0.10689526
Hainault,IG6 3XP,51.612692,0.12066212
Ilford,IG1 1BP,51.557635,0.074113266
Barkingside,IG5 0TB,51.591009,0.068862266
Woodford,IG8 8PB,51.603122,0.045787566
Hainault,IG6 3AP,51.605305,0.098380934
Woodford,IG8 8FJ,51.598674,0.054886641
Woodford,IG8 7DW,51.598294,0.033311596
Ilford,IG2 6SX,51.578331,0.070826611
Hainault,IG7 4BP,51.609199,0.099860387
Barking,IG11 8UD,51.546971,0.092753305
Wanstead,E11 1PD,51.584817,0.025362396
Chadwell Heath,RM6 4EL,51.569187,0.12404809
Ilford,IG2 6JU,51.577245,0.067630927
Teddington,TW11 0DB,51.426691,-0.34413301
Twickenham,TW2 7LL,51.449856,-0.35823369
Richmond (Surrey),TW9 2LW,51.465684,-0.29653727
Dulwich,SE22 0SH,51.45452,-0.062325177
Rotherhithe,SE16 3TX,51.492474,-0.065873437
Bermondsey,SE1 2RW,51.498785,-0.070692141
Peckham,SE15 1DU,51.479572,-0.055718946
Norwood,SE19 1UN,51.425127,-0.075680469
Herne Hill,SE24 9LR,51.453397,-0.10083158
Bermondsey,SE1 4WW,51.496912,-0.088664716
Rotherhithe,SE16 3ET,51.487593,-0.062190893
Peckham,SE15 1JL,51.48114,-0.060246525
Carshalton,SM6 7EL,51.377051,-0.15613899
Sutton,SM5 1AA,51.380072,-0.18319141
Carshalton,SM6 7BZ,51.38217,-0.15630689
Carshalton,SM5 2EH,51.371644,-0.16688756
Carshalton,SM5 2DW,51.372455,-0.16758791
Cheam,SM3 8AN,51.357101,-0.22161611
Sutton,SM1 4EX,51.367238,-0.19354015
Sutton,SM2 5SU,51.343831,-0.19766266
Worcester Park,KT4 8DY,51.378625,-0.24219264
Cheam,SM3 8HW,51.371552,-0.22694684
Sutton,SM1 3TX,51.383212,-0.19082744
Sutton,SM1 1LD,51.367849,-0.19524006
Sutton,SM2 6LF,51.359148,-0.19197684
Bethnal Green,E2 0PL,51.528544,-0.048544072
Bethnal Green,E2 7SH,51.530633,-0.071003989
Poplar,E14 7NT,51.512917,-0.040060296
Poplar,E14 0EB,51.511383,-0.01516513
Poplar,E14 0PS,51.512941,-0.002025574
Poplar,E14 7LE,51.512619,-0.032449133
Bow,E3 3BB,51.529,-0.013562814
Bethnal Green,E2 6AB,51.526287,-0.067583596
Whitechapel,E1 5RN,51.523018,-0.055296053
Bethnal Green,E2 0RA,51.530057,-0.044903822
Poplar,E14 0SW,51.514086,-0.009628519
Poplar,E14 3ET,51.499125,-0.008738777
Bow,E3 5QJ,51.531579,-0.035885024
Bow,E3 4JL,51.521305,-0.032968455
Poplar,E14 7DP,51.516764,-0.029214864
Bow,E3 4LD,51.518159,-0.029803275
Bethnal Green,E2 9BD,51.535055,-0.061603244
Bow,E3 3PN,51.520327,-0.02022498
Leyton Leytonstone,E10 6AW,51.577026,-0.009636455
Walthamstow,E17 5DX,51.599792,-0.029174342
Chingford,E4 9HH,51.609349,-0.001420369
Walthamstow,E17 3JX,51.589727,-0.004057404
Chingford,E4 6SH,51.617546,-0.018120203
Walthamstow,E17 5AG,51.599361,-0.016399584
Leyton Leytonstone,E10 5HP,51.564462,-0.017529275
Walthamstow,E17 3HR,51.591214,-0.006374314
Leyton Leytonstone,E10 5TX,51.564661,-0.019237583
Walthamstow,E17 5PH,51.598952,-0.038610747
Walthamstow,E17 6YE,51.585503,-0.018013658
Chingford,E4 6RD,51.623595,-0.016354099
Stratford West Ham,E15 2AW,51.55259,0.004240735
Chingford,E4 8SP,51.60182,-0.017216567
Chingford,E4 8HH,51.616728,-0.01922476
Chingford,E4 7BE,51.631947,0.004919311
Chingford,E4 9LG,51.607656,-0.001278093
Wandsworth,SW18 2LH,51.451713,-0.18991988
Tooting,SW17 0PD,51.434853,-0.1853638
Wandsworth,SW18 2SH,51.458457,-0.18002305
Wandsworth,SW18 1JT,51.462244,-0.18705594
Balham,SW12 9EB,51.450595,-0.1482698
Wandsworth,SW18 3EJ,51.443208,-0.18831354
Streatham,SW16 1RT,51.430726,-0.14575006
Wandsworth,SW18 1HL,51.458405,-0.19705399
Roehampton,SW15 3SB,51.442168,-0.24048786
Battersea,SW8 4BU,51.477005,-0.14649479
Roehampton,SW15 5FL,51.458874,-0.24275323
St Johns Wood,NW8 7NE,51.530805,-0.16814265
Bayswater,W2 1NB,51.519573,-0.17502202
Heston,TW5 0DH,51.477772,-0.37206404
Watford,WD24 6PD,51.673781,-0.396719
Kings Langley Abbots Langley,WD25 9PG,51.686111,-0.39030881
Watford,WD18 6NW,51.644682,-0.41787899
Marylebone,NW1 2BJ,51.526297,-0.1326148
Hammersmith,W6 7BT,51.493817,-0.21586845
Clapham,SW4 7DB,51.463214,-0.1336795
Deptford,SE8 4SE,51.478144,-0.022484216
Downham,BR1 5EW,51.425554,0.012946691
Lewisham,SE13 6JP,51.45983,-0.012090716
Deptford,SE8 5RS,51.489792,-0.041383539
Deptford,SE8 5BU,51.481687,-0.02778944
Lewisham,SE13 5DL,51.46339,0.000675378
New Cross,SE14 6PP,51.475302,-0.035308175
New Cross,SE14 6QP,51.47176,-0.030017475
Wimbledon,SW19 4DA,51.421867,-0.20870427
Mitcham,CR4 3HB,51.408165,-0.16354375
Mitcham,CR4 4ER,51.399328,-0.1717902
Raynes Park,SW20 8DN,51.409513,-0.22592458
Mitcham,CR4 3DL,51.406177,-0.17618999
Morden,SM4 5HN,51.399617,-0.19679327
Wimbledon,SW19 3BX,51.409104,-0.19273898
Morden,SM4 5BG,51.396223,-0.19070232
Morden,SM4 5BY,51.401489,-0.19867486
Wimbledon,SW19 1DH,51.416369,-0.18278813
Mitcham,CR4 3EB,51.408727,-0.17016436
Knightsbridge,SW3 1HQ,51.498002,-0.16762848
Raynes Park,SW20 0JL,51.403282,-0.23916271
Notting Hill,W11 3BU,51.510271,-0.19803347
Morden,SM4 5HT,51.40251,-0.19317145
Notting Hill,W11 2NE,51.512195,-0.20274217
Dagenham,RM9 4NU,51.541084,0.12709436
Acton,W12 9EP,51.506268,-0.23943191
Kingston,KT2 6RN,51.412147,-0.29684536
Greenford,UB6 9AN,51.525942,-0.35257222
Harlington,UB3 4BY,51.507038,-0.41912062
Marylebone,NW1 6HB,51.525069,-0.16249123
Southwark,SE1 8HF,51.50322,-0.10499989
London City,EC1R 3BW,51.522666,-0.10802713
Lambeth,SE1 7ND,51.504365,-0.11463545
Kennington,SW8 1RL,51.483047,-0.12385387
London City,EC1R 5DH,51.522062,-0.11130991
